product_id,name,field,features,description,
1,Smartphone,Technology,touchscreen; camera; internet connectivity,"A portable device with a touchscreen, camera, and internet connectivity.","(1,'Smartphone','Technology','touchscreen; camera; internet connectivity','A portable device with a touchscreen, camera, and internet connectivity.'),"
2,Washing Machine,Home Appliances,automatic washing; drying; energy efficient,"A home appliance that automatically washes and dries clothes, designed to be energy efficient.","(2,'Washing Machine','Home Appliances','automatic washing; drying; energy efficient','A home appliance that automatically washes and dries clothes, designed to be energy efficient.'),"
3,Running Shoes,Fashion,lightweight; breathable material; supportive sole,"Shoes designed for running, featuring lightweight and breathable materials with a supportive sole.","(3,'Running Shoes','Fashion','lightweight; breathable material; supportive sole','Shoes designed for running, featuring lightweight and breathable materials with a supportive sole.'),"
4,Fitness Tracker,Healthcare,heart rate monitor; step counter; sleep analysis,"A wearable device that monitors heart rate, counts steps, and analyzes sleep patterns.","(4,'Fitness Tracker','Healthcare','heart rate monitor; step counter; sleep analysis','A wearable device that monitors heart rate, counts steps, and analyzes sleep patterns.'),"
5,Laptop,Technology,portable; high performance; long battery life,A portable computer with high performance capabilities and long battery life.,"(5,'Laptop','Technology','portable; high performance; long battery life','A portable computer with high performance capabilities and long battery life.'),"
6,Refrigerator,Home Appliances,cooling; freezer compartment; energy efficient,"A home appliance that provides cooling and includes a freezer compartment, designed to be energy efficient.","(6,'Refrigerator','Home Appliances','cooling; freezer compartment; energy efficient','A home appliance that provides cooling and includes a freezer compartment, designed to be energy efficient.'),"
7,Smartwatch,Healthcare,notifications; fitness tracking; heart rate monitor,"A wearable device that provides notifications, tracks fitness activities, and monitors heart rate.","(7,'Smartwatch','Healthcare','notifications; fitness tracking; heart rate monitor','A wearable device that provides notifications, tracks fitness activities, and monitors heart rate.'),"
8,Blender,Home Appliances,blending; variable speed control; easy to clean,"A kitchen appliance used for blending ingredients, featuring variable speed control and easy cleaning.","(8,'Blender','Home Appliances','blending; variable speed control; easy to clean','A kitchen appliance used for blending ingredients, featuring variable speed control and easy cleaning.'),"
9,Electric Scooter,Transportation,electric motor; foldable; long battery life,"A foldable scooter powered by an electric motor, with a long battery life for extended use.","(9,'Electric Scooter','Transportation','electric motor; foldable; long battery life','A foldable scooter powered by an electric motor, with a long battery life for extended use.'),"
10,Headphones,Technology,noise cancelling; wireless; high fidelity sound,"Audio devices worn over the ears, featuring noise cancellation, wireless connectivity, and high fidelity sound.","(10,'Headphones','Technology','noise cancelling; wireless; high fidelity sound','Audio devices worn over the ears, featuring noise cancellation, wireless connectivity, and high fidelity sound.'),"
11,Hat,Fashion,sun protection; fashionable; various styles,A headwear item that provides sun protection and comes in various fashionable styles.,"(11,'Hat','Fashion','sun protection; fashionable; various styles','A headwear item that provides sun protection and comes in various fashionable styles.'),"
12,Tablet,Technology,touchscreen; portable; app ecosystem,A portable device with a touchscreen interface and access to a wide range of applications.,"(12,'Tablet','Technology','touchscreen; portable; app ecosystem','A portable device with a touchscreen interface and access to a wide range of applications.'),"
13,Gaming Console,Home Automation,high performance; online multiplayer; exclusive games,"A device designed for playing video games, offering high performance, online multiplayer capabilities, and exclusive games.","(13,'Gaming Console','Home Automation','high performance; online multiplayer; exclusive games','A device designed for playing video games, offering high performance, online multiplayer capabilities, and exclusive games.'),"
14,Air Purifier,Home Appliances,HEPA filter; quiet operation; energy efficient,"A device that purifies air using a HEPA filter, operates quietly, and is energy efficient.","(14,'Air Purifier','Home Appliances','HEPA filter; quiet operation; energy efficient','A device that purifies air using a HEPA filter, operates quietly, and is energy efficient.'),"
15,Thermostat,Home Automation,temperature control; energy saving; scheduling,"A device that controls temperature, helps save energy, and allows scheduling.","(15,'Thermostat','Home Automation','temperature control; energy saving; scheduling','A device that controls temperature, helps save energy, and allows scheduling.'),"
16,Drone,Technology,remote control; camera; GPS,"An unmanned aerial vehicle controlled remotely, equipped with a camera and GPS.","(16,'Drone','Technology','remote control; camera; GPS','An unmanned aerial vehicle controlled remotely, equipped with a camera and GPS.'),"
17,Robot Vacuum,Home Appliances,automatic cleaning; scheduling; self-charging,"A vacuum cleaner that cleans automatically, allows scheduling, and self-charges.","(17,'Robot Vacuum','Home Appliances','automatic cleaning; scheduling; self-charging','A vacuum cleaner that cleans automatically, allows scheduling, and self-charges.'),"
18,Bluetooth Speaker,Healthcare,wireless; portable; high quality sound,"A wireless, portable speaker that provides high quality sound.","(18,'Bluetooth Speaker','Healthcare','wireless; portable; high quality sound','A wireless, portable speaker that provides high quality sound.'),"
19,3D Printer,Home Automation,precision printing; customizable; rapid prototyping,"A device that creates three-dimensional objects using precision printing, customizable settings, and is ideal for rapid prototyping.","(19,'3D Printer','Home Automation','precision printing; customizable; rapid prototyping','A device that creates three-dimensional objects using precision printing, customizable settings, and is ideal for rapid prototyping.'),"
20,Blood Pressure Monitor,Healthcare,digital display; automatic inflation; data storage,"A device that measures blood pressure, featuring a digital display, automatic inflation, and data storage.","(20,'Blood Pressure Monitor','Healthcare','digital display; automatic inflation; data storage','A device that measures blood pressure, featuring a digital display, automatic inflation, and data storage.'),"
21,Door Lock,Home Security,secure; durable; easy to install,"A device used to secure doors, designed to be durable and easy to install.","(21,'Door Lock','Home Security','secure; durable; easy to install','A device used to secure doors, designed to be durable and easy to install.'),"
22,Glasses,Fashion,vision correction; various frames; protective lenses,"Eyewear designed for vision correction or protection, available in various frame styles.","(22,'Glasses','Fashion','vision correction; various frames; protective lenses','Eyewear designed for vision correction or protection, available in various frame styles.'),"
23,Fitness Apparel,Fashion,moisture wicking; breathable; stretchable,"Clothing designed for fitness activities, featuring moisture-wicking, breathable, and stretchable materials.","(23,'Fitness Apparel','Fashion','moisture wicking; breathable; stretchable','Clothing designed for fitness activities, featuring moisture-wicking, breathable, and stretchable materials.'),"
24,Jacket,Fashion,insulation; various styles; protective,"A piece of outerwear designed for warmth and protection, available in various styles.","(24,'Jacket','Fashion','insulation; various styles; protective','A piece of outerwear designed for warmth and protection, available in various styles.'),"
25,Electric Bicycle,Transportation,pedal assist; long battery life; foldable,"A bicycle with an electric motor for pedal assist, featuring a long battery life and foldable design.","(25,'Electric Bicycle','Transportation','pedal assist; long battery life; foldable','A bicycle with an electric motor for pedal assist, featuring a long battery life and foldable design.'),"
26,Car,Transportation,engine; wheels; seating,"A motor vehicle with an engine, wheels, and seating for transportation.","(26,'Car','Transportation','engine; wheels; seating','A motor vehicle with an engine, wheels, and seating for transportation.'),"
27,Hoverboard,Transportation,self-balancing; electric motor; LED lights,"A self-balancing personal transporter powered by an electric motor, featuring LED lights.","(27,'Hoverboard','Transportation','self-balancing; electric motor; LED lights','A self-balancing personal transporter powered by an electric motor, featuring LED lights.'),"
28,Skateboard,Sports,deck; wheels; trucks,"A board with wheels used for skateboarding, consisting of a deck, wheels, and trucks.","(28,'Skateboard','Sports','deck; wheels; trucks','A board with wheels used for skateboarding, consisting of a deck, wheels, and trucks.'),"
29,Ring,Fashion,decorative; various materials; adjustable sizes,"A decorative piece of jewelry worn on the finger, available in various materials and adjustable sizes.","(29,'Ring','Fashion','decorative; various materials; adjustable sizes','A decorative piece of jewelry worn on the finger, available in various materials and adjustable sizes.'),"
30,Gloves,Fashion,hand protection; various materials; different sizes,"A piece of clothing worn on the hands for protection, available in various materials and sizes.","(30,'Gloves','Fashion','hand protection; various materials; different sizes','A piece of clothing worn on the hands for protection, available in various materials and sizes.'),"
31,Backpack,Fashion,storage compartments; adjustable straps; durable,"A bag carried on the back with storage compartments and adjustable straps, designed to be durable.","(31,'Backpack','Fashion','storage compartments; adjustable straps; durable','A bag carried on the back with storage compartments and adjustable straps, designed to be durable.'),"
32,Earrings,Fashion,decorative; various materials; different styles,"Jewelry worn on the earlobes, available in various materials and styles.","(32,'Earrings','Fashion','decorative; various materials; different styles','Jewelry worn on the earlobes, available in various materials and styles.'),"
33,Wallet,Fashion,card slots; coin pocket; compact,"A small, compact case for holding cards, cash, and coins, with dedicated slots and pockets.","(33,'Wallet','Fashion','card slots; coin pocket; compact','A small, compact case for holding cards, cash, and coins, with dedicated slots and pockets.'),"
34,Belt,Fashion,adjustable fit; various materials; different designs,"A strap worn around the waist to hold up clothing, available in various materials and designs.","(34,'Belt','Fashion','adjustable fit; various materials; different designs','A strap worn around the waist to hold up clothing, available in various materials and designs.'),"
